Country Name,Country Code,POP_change,net_migration,mean_nat_birth_rate,LE_change,GDP_change
Indonesia,IDN,87423004.0,-1386601.0,21.214766666666662,7.336999999999996,1012959000000.0
India,IND,512659885.0,-7932858.0,24.38063333333333,12.257999999999996,2510571000000.0
Ireland,IRL,1420366.0,532603.0,14.656666666666665,7.856365850000003,350016367592.0
"Iran, Islamic Rep.",IRN,30770573.0,3360803.0,19.3073,11.736000000000004,158934000000.0
Iraq,IRQ,23905139.0,493730.0,34.8414,13.141000000000005,53228000000.0
Italy,ITA,3009841.0,4363751.0,9.126666666666669,6.5268292700000075,830080000000.0
Jamaica,JAM,421743.0,-506786.0,18.708966666666672,-0.5370000000000061,11238544483.0
Jordan,JOR,7218096.0,2775598.0,29.57903333333333,6.189999999999998,40833829641.0
Japan,JPN,3155000.0,3290046.0,8.820666666666666,5.51951219,1990500000000.0
Kazakhstan,KAZ,2165673.0,-3192337.0,19.610333333333337,4.843414630000012,154734270897.0
Kenya,KEN,27789181.0,-972230.0,37.056366666666676,4.329000000000008,91807640837.0
Kyrgyz Republic,KGZ,2065000.0,-941735.0,24.58,3.3024390199999942,6196026074.0
"Korea, Rep.",KOR,8895539.0,-68356.0,11.2,11.629268289999999,1368052000000.0
Kuwait,KWT,2766162.0,873519.0,20.3599,6.403999999999996,117769222222.0
Lao PDR,LAO,2897610.0,-667918.0,31.149933333333333,14.425000000000004,17874999697.8
Lebanon,LBN,2188207.0,-2758.0,19.9481,14.76100000000001,49115259176.0
Libya,LBY,2332105.0,-603416.0,23.115266666666674,3.0400000000000063,40350470214.0
Sri Lanka,LKA,4477231.0,-1734599.0,17.982166666666668,4.081000000000003,80982439619.0
Lesotho,LSO,426705.0,-397436.0,29.732433333333333,-5.225000000000001,1857565730.5
Luxembourg,LUX,238151.0,196778.0,11.933333333333332,7.2007073200000065,57046848997.0
"Macao SAR, China",MAC,313426.0,222274.0,11.094899999999999,7.554000000000002,51958280075.0
Morocco,MAR,11733594.0,-2609454.0,22.73503333333333,11.821999999999996,98739891438.0
Madagascar,MDG,15650372.0,5679.0,38.46423333333334,14.181000000000004,10173329644.0
Maldives,MDV,279551.0,112645.0,23.137799999999995,16.537999999999997,5394356752.2
Mexico,MEX,43364883.0,-6763439.0,22.494300000000003,4.2309999999999945,1007756000000.0
North Macedonia,MKD,32520.0,-161355.0,12.775190888333334,5.368634140000012,7906691806.0
Mali,MLI,11622398.0,-1278308.0,46.1115,13.043999999999997,14598339045.0
Malta,MLT,149892.0,106289.0,10.9,6.9785609799999975,13178684397.0
Myanmar,MMR,12940659.0,-3220765.0,21.786200000000004,9.948999999999998,66661385838.0
Mongolia,MNG,1070997.0,-154241.0,23.669166666666666,13.057000000000002,11645573347.0
Mauritania,MRT,2377822.0,-171525.0,37.49876666666667,5.9169999999999945,6559211904.0
Mauritius,MUS,206936.0,-73092.0,14.993333333333332,4.83097561000001,11782873897.0
Malawi,MWI,9327672.0,-1268232.0,42.54113333333334,20.796,9144599591.0
Malaysia,MYS,15286966.0,4148879.0,20.8154,4.453000000000003,321150821657.0
Namibia,NAM,1077633.0,-87973.0,31.901066666666672,0.5790000000000006,9751983607.0
Niger,NER,15072745.0,-127166.0,50.59043333333332,21.045,9404098808.0
Nigeria,NGA,108090235.0,212366.0,42.179899999999996,6.8729999999999976,394084204612.0
Nicaragua,NIC,2436104.0,-921757.0,26.910799999999995,10.957999999999998,11587180558.0
Netherlands,NLD,2393364.0,1062008.0,11.613333333333335,5.234146339999995,591863000000.0
Norway,NOR,1106423.0,659495.0,12.586666666666668,6.421219519999994,285149000000.0
Nepal,NPL,9215966.0,-4958989.0,27.92043333333333,14.725000000000009,30558628593.0
New Zealand,NZL,1649400.0,775659.0,14.484000000000002,6.329268290000002,167939870615.0
Oman,OMN,2798244.0,1063332.0,24.465700000000005,8.219999999999999,76375812743.0
Pakistan,PAK,107879211.0,-19461117.0,34.51383333333333,6.689999999999998,280898576030.0
Panama,PAN,1782564.0,126746.0,22.562666666666665,6.713000000000008,60550433000.0
Peru,PER,10715762.0,-2298362.0,23.001666666666665,11.049999999999997,201912613331.0
Philippines,PHL,48821906.0,-3857794.0,27.484233333333336,5.956000000000003,326314713358.0
Papua New Guinea,PNG,5677514.0,1140104.0,32.14006666666666,5.752999999999986,21531614196.0
Poland,POL,-145307.0,-390913.0,10.683333333333334,7.014634149999992,530077250963.0
Puerto Rico,PRI,-343306.0,-840305.0,13.086,5.173000000000002,74522081000.0
Portugal,PRT,303045.0,350603.0,10.066666666666665,7.709756100000007,161273139783.0
Paraguay,PRY,2470831.0,-635116.0,25.98736666666667,5.677000000000007,32113223806.0
Qatar,QAT,2365560.0,1963071.0,15.840533333333333,7.007999999999996,168477560577.0
