Country Code,Country Name,Capital,Continent,2020 Population,1990 Population,Area (km²),Density (per km²),World Population Percentage
NZL,New Zealand,Wellington,Oceania,5061133,3397389,270467,19.1716,0.07
NIC,Nicaragua,Managua,North America,6755895,4227820,130373,53.2962,0.09
NER,Niger,Niamey,Africa,24333639,8370647,1267000,20.6851,0.33
NGA,Nigeria,Abuja,Africa,208327405,95214257,923768,236.5759,2.74
MKD,North Macedonia,Skopje,Europe,2111072,2044174,25713,81.4218,0.03
NOR,Norway,Oslo,Europe,5379839,4241636,323802,16.7828,0.07
OMN,Oman,Muscat,Asia,4543399,1804524,309500,14.7861,0.06
PAK,Pakistan,Islamabad,Asia,227196741,115414069,881912,267.4018,2.96
PAN,Panama,Panama City,North America,4294396,2449968,75417,58.4561,0.06
PNG,Papua New Guinea,Port Moresby,Oceania,9749640,3864972,462840,21.9139,0.13
PRY,Paraguay,Asunción,South America,6618695,4059195,406752,16.6705,0.09
PER,Peru,Lima,South America,33304756,22109099,1285216,26.4933,0.43
PHL,Philippines,Manila,Asia,112190977,61558898,342353,337.5434,1.45
POL,Poland,Warsaw,Europe,38428366,38064255,312679,127.4698,0.5
PRT,Portugal,Lisbon,Europe,10298192,10007346,92090,111.5307,0.13
PRI,Puerto Rico,San Juan,North America,3271564,3543776,8870,366.675,0.04
QAT,Qatar,Doha,Asia,2760385,441675,11586,232.6189,0.03
COG,"Congo, Rep.",Brazzaville,Africa,5702174,2385435,342000,17.4574,0.07
ROU,Romania,Bucharest,Europe,19442038,22836234,238391,82.4665,0.25
RUS,Russian Federation,Moscow,Europe,145617329,148005704,17098242,8.4636,1.81
RWA,Rwanda,Kigali,Africa,13146362,7319962,26338,523.0731,0.17
SAU,Saudi Arabia,Riyadh,Asia,35997107,16004763,2149690,16.9368,0.46
SEN,Senegal,Dakar,Africa,16436119,7536001,196722,88.025,0.22
SLE,Sierra Leone,Freetown,Africa,8233969,4325388,71740,119.95700000000001,0.11
SGP,Singapore,Singapore,Asia,5909869,3022209,710,8416.4634,0.07
SVK,Slovak Republic,Bratislava,Europe,5456681,5261305,49037,115.0856,0.07
SLB,Solomon Islands,Honiara,Oceania,691191,324171,28896,25.0648,0.01
SOM,Somalia,Mogadishu,Africa,16537016,6999096,637657,27.5971,0.22
ZAF,South Africa,Pretoria,Africa,58801927,39877570,1221037,49.0517,0.75
KOR,"Korea, Rep.",Seoul,Asia,51844690,44120039,100210,517.0722,0.65
ESP,Spain,Madrid,Europe,47363807,38889889,505992,93.9909,0.6
LKA,Sri Lanka,Colombo,Asia,21715079,17204094,65610,332.7563,0.27
SDN,Sudan,Khartoum,Africa,44440486,21090886,1886068,24.8529,0.59
SUR,Suriname,Paramaribo,South America,607065,412756,163820,3.7727,0.01
SWE,Sweden,Stockholm,Europe,10368969,8548406,450295,23.4276,0.13
CHE,Switzerland,Bern,Europe,8638613,6711693,41284,211.7157,0.11
SYR,Syrian Arab Republic,Damascus,Asia,20772595,12408996,185180,119.4797,0.28
TJK,Tajikistan,Dushanbe,Asia,9543207,5417860,143100,69.5513,0.12
TZA,Tanzania,Dodoma,Africa,61704518,26206012,945087,69.3034,0.82
THA,Thailand,Bangkok,Asia,71475664,55228410,513120,139.7276,0.9
TGO,Togo,Lomé,Africa,8442580,3875947,56785,155.8281,0.11
TTO,Trinidad and Tobago,Port-of-Spain,North America,1518147,1266518,5130,298.4491,0.02
TUN,Tunisia,Tunis,Africa,12161723,8440023,163610,75.5218,0.15
TUR,Turkiye,Ankara,Asia,84135428,54324142,783562,108.9145,1.07
TKM,Turkmenistan,Ashgabat,Asia,6250438,3720278,488100,13.1751,0.08
UGA,Uganda,Kampala,Africa,44404611,17586630,241550,195.61,0.59
UKR,Ukraine,Kiev,Europe,43909666,51589817,603500,65.7858,0.5
ARE,United Arab Emirates,Abu Dhabi,Asia,9287289,1900151,83600,112.9322,0.12
GBR,United Kingdom,London,Europe,67059474,57210442,242900,277.9289,0.85
USA,United States,"Washington, D.C.",North America,335942003,248083732,9372610,36.0935,4.24
URY,Uruguay,Montevideo,South America,3429086,3117012,181034,18.9069,0.04
UZB,Uzbekistan,Tashkent,Asia,33526656,20579100,447400,77.3975,0.43
VNM,Vietnam,Hanoi,Asia,96648685,66912613,331212,296.4472,1.23
ZMB,Zambia,Lusaka,Africa,18927715,7686401,752612,26.5976,0.25
ZWE,Zimbabwe,Harare,Africa,15669666,10113893,390757,41.7665,0.2
