,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Unnamed: 66
0,Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0784313725487,18.648648648648898,12.1298405466969,3.96140172676478,7.9628717444433095,5.88235395341866,7.307693245314059,8.20390129312089,2.54714368704694,1.18578851134656,7.046874992412209,1.99198444906199,1.2380418420716002,7.6165891130772305,4.1959628033567595,-0.9577710056595521,1.12087912087912,7.281025863942619,-0.384927066450572,1.1389058368924199,3.09672230042229,1.83343085625123,-11.683585520015301,-2.73259596616786,3.36677814938685,-1.03537532355479,6.4298169136878895,-0.0204792135982075,3.54362965997541,2.11671612265083,5.48237117396357,5.25785567271588,0.635029268285663,-18.5890997764476,17.1725085129983,
1,Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,0.23730429600512098,7.984460464729071,5.163873351138509,4.5836768452747805,5.328044215251571,3.91390855239683,5.25530876450813,4.02630212024955,5.278366198347361,4.69369864842318,5.37500487722077,2.15418892877175,4.445536249876599,5.88955613588695,1.7360267223943,2.85202185179054,1.24338322798587,1.0447363992574001,2.80214602485438,5.41532435138623,4.32969424692348,0.5167052864882891,0.162079464428928,3.01429960620119,-0.44335230419829896,2.2939892816384,4.243851279747839,4.01447483273401,2.90991752788356,-0.0326301465164391,0.11402982036077,-1.96381805944742,-0.387732938800454,2.0244877796497898,4.29865237859181,5.434042994220429,4.43287205542346,1.84600842808642,2.65228256199809,3.3539775393964497,3.65322422774005,3.9052502669471196,3.0960448630497996,5.507314937289929,6.11692445270941,6.5613182367754295,6.56877678509855,4.30248193382188,0.645423329221998,5.19713733939426,3.70019048397752,0.770097316747751,4.2294081972122095,4.0390821925013105,2.8957283231718396,2.48595245002608,2.63953701909148,2.61079683956498,2.03829851920763,-3.0426531465134596,4.40244666489478,
2,Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.832277812635711,1.41411798058979,11.2297148236429,5.35740325126351,13.8263195479763,3.92498382161573,21.3905283931066,14.3624414692681,0.426354784529209,12.7522870887171,5.60074465808154,2.72454336394854,1.4513146600975502,2.26031420130452,2.64700320195786,1.18922812838034,3.9116034194230003,-2.35110067344623,-20.7371456208414,
3,Africa Western and Central,AFW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.83505619431459,3.77289812252096,7.28298546966617,5.3927054817963604,4.05658844996837,-1.80728296120819,-9.59592479718832,1.4459407678536,15.553814553737901,17.9632090279498,10.8352202021187,3.1478018349934302,4.2232607288985005,10.25752935546,-2.19034079550863,8.582498415448441,4.7368784562744,-2.22410919714989,5.24316493925137,2.01353152592961,-6.98441988332387,-3.37725038199413,-6.56715446162359,0.547398608744871,5.55416320724251,1.40507596518668,1.4604619815090099,4.86172708222065,2.26958153709822,6.600198631681041,1.1153546756032,2.7083925508386804,-1.16710555302048,-0.311087673602302,1.9122268529484499,4.62589783505211,4.225267632542,3.4999053275307297,1.41507494573246,3.74366661670236,5.2176628131589196,9.93814877322885,5.5321125833986695,8.02283752807899,5.85289191452389,5.37976547612749,5.53913084124633,6.2830286583321,6.28838134284739,6.96542660958637,4.85204840851215,5.1355837221919005,6.108757951624599,5.930449667383031,2.7451373874180494,0.11368698885718198,2.30562349545798,2.9461745991898196,3.19087886773977,-0.9003818945964499,3.96539855725513,
4,Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-4.4000012186504405,0.0,4.20000142853745,6.00000216509061,3.4999994900862403,2.90000174246859,4.08274863510718,6.12889047765088,0.0416214618374653,-3.4500986850025295,0.9913593020447421,-5.83828073313141,-23.9834174420578,1.3393634364799099,15.0000000288634,13.544369755102599,7.27427735460373,4.691146450935519,2.18148971840458,3.05462423430785,4.2059985561951,13.665688760856199,2.9900000000000095,10.9500000059465,15.0299999905513,11.549999997879,14.0100000086059,11.1699999942146,0.8600000021527879,4.85999999863851,3.47000000135648,8.54000000289987,4.9499999975523,4.81999999862724,0.9399999993847808,-2.5799999964437004,-0.14999999963809804,-1.31631210213166,-0.6999999978027199,-5.60000000041939,1.09999999999965,
5,Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,5.74563529228122,2.94859680118948,1.10493826195044,-1.25159664405811,1.78064395924903,5.63724317852112,-0.7878426549272459,-1.4200396556639099,9.83654897187228,-9.57564016993415,-28.002141655909902,-7.187110915000369,9.5594116849315,8.30286659699671,13.322333321684,9.09999943646361,-10.9199840781391,8.829423758398061,12.8908036407763,6.94621659244254,8.293312631210231,4.53652416035675,5.52863746491788,5.514667910979139,5.526424246954651,5.902659035919241,5.98325951855567,7.50004143020151,3.35428934987461,3.70693815255319,2.54540614450104,1.4172427999077999,1.00201754071108,1.7744488526039401,2.21872637517804,3.3149806838413705,3.80222740040676,4.01935968514439,2.08806337615015,-3.4816303731429303,8.51550112324915,
6,Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,4.64946536113831,8.149743487809731,7.788467203322231,5.6187897289272,0.54220565931233,3.30378704601691,2.83857556823506,1.46300017891366,0.0415571952087532,2.2087276112749197,-0.132474510851083,1.2464611107341899,1.77011831683124,1.7846866899590599,2.32143303367481,3.2533217762911004,5.547122170801329,5.0943262031371,4.827034250387039,3.78138758571333,2.54600352375863,0.929214040125956,-1.0314843899989499,2.3831822482117997,2.75750161326249,4.64973866754707,9.06767205144135,3.19479339289236,4.0990789217792996,3.52836236122388,8.11935772169949,4.546362213646531,8.69420371612468,8.135676338373509,5.39779598500422,4.808688699169211,1.55318814103222,-5.559186368505809,-5.30284654348291,-1.9749579996534499,-0.008069753411390929,-4.9744437185350305,-3.54759651549344,2.50446552114518,1.4341403952271599,3.7096780697898595,0.34607188963029495,1.58876549046354,2.01554763848308,-11.1839399355384,8.94941798050814,
7,Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,15.7611519802198,8.13033615454832,-0.6003489863756221,11.026720406147499,9.08164524341768,3.3996797214459598,-8.33988752576232,-6.23492631751101,1.30570113351227,-2.0524949893429,4.44047992481759,-0.0732726618805373,5.76797266153906,2.19238793492632,12.111035238000099,2.39169313510106,5.1996945868025595,3.16707790739923,3.28075719980232,3.0614165145274903,4.696610267083099,4.7586530033940395,5.116632528235,1.8367373979701698,6.565675295977241,1.7004449315316799,0.677285279278706,4.87514389313479,8.86713235118548,5.52311681305511,6.08734030388736,4.570573868184541,5.555533111979701,0.38833354092489003,4.74781067340896,3.24751365804008,5.1478332644664,2.58579735827979,2.93553926870702,3.29406818119725,3.51825229452645,1.05633263763067,2.3839247844164504,1.25430758351301,-4.79457340975746,3.67056825885206,
8,United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,16.5268565060148,21.439330170198897,-1.58960331991595,20.9235730770152,23.874774910498,4.659176674065151,-6.719316185707839,-4.7458206999658,4.0169512795941005,-3.59447651736838,-14.9581365645327,3.3819817090087794,-2.61890770383279,12.337891282260001,18.3279855336405,0.8600819457782191,3.3449448618412,1.26119095149724,6.8961485505266795,6.68788646362944,5.79840406132159,8.1903986407705,0.291994348685435,2.90221364464598,10.852704212598601,1.3990850303263,2.43345681036156,8.800540814864322,9.566436637161619,4.85514119630905,9.837319773484891,3.1843901736724,3.1918362761038397,-5.2429219066759005,1.60285004831249,6.92850859456968,4.77662573667088,5.05555965425988,4.165691842561779,6.786772879452161,5.5614907549679895,0.735068713165646,1.31391388141118,1.10834813893099,-4.95705243652739,3.91629608037678,
9,Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.42784287621933,-0.8520215219033391,-5.30819682539126,10.1302976615431,10.569433337639401,-0.659726170629824,3.1919966233917703,4.8225007793242405,9.67952601078326,3.0456433191711496,5.658131081849249,1.62841651825939,2.81175403849035,5.533804395773599,-0.0284121037110907,-2.01825151683394,6.93414775653342,-4.50612480201359,10.2227634638681,1.51878394990179,-5.18978914135593,-0.735659159103619,4.34909327926756,1.57073870182023,-5.189024353439041,6.153377062756929,2.70486882770558,-1.08993334133791,-7.156949655979531,-2.4672137781047203,9.13311056738961,7.937291556430759,8.20697907221228,5.83620070368526,-2.84520961057079,5.526689827152341,8.1110467707457,3.85017885156228,-3.3854570406326903,-0.78899893905691,-4.40883968258557,-10.8944848285903,8.837040795769239,9.02957330068152,8.851659920134368,8.04715150043027,9.00765087504757,4.05723310346406,-5.91852507634947,10.1253981561002,6.003951692805789,-1.0264204544320998,2.40532378079436,-2.5126153208139397,2.7311598282894396,-2.08032784377811,2.81850297775918,-2.6173964628203796,-2.0008610028578504,-9.94323513446069,10.3982494646904,
